LocationID,FacilityName,Address,City,State,ZIPCode,PhoneNumber
1001522,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,NULL,NULL,NULL,NULL,2519493400
1001523,ROSELAND COMMUNITY HOSPITAL,NULL,NULL,NULL,NULL,2519493400
1001527,LORETTO HOSPITAL,NULL,NULL,NULL,NULL,2519493400
1001325,STEPHENS COUNTY HOSPITAL,NULL,NULL,NULL,NULL,2563542131
1001419,SGMC LANIER CAMPUS,NULL,NULL,NULL,NULL,2562355121
1000006,SOUTHEAST ALABAMA MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,3347938701
1000007,SOUTHEAST ALABAMA MEDICAL CENTER,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,3347938701
1000008,SOUTHEAST ALABAMA MEDICAL CENTER,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,3347938701
1000009,SOUTHEAST ALABAMA MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,3347938701
1000010,SOUTHEAST ALABAMA MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,3347938701
1000011,SOUTHEAST ALABAMA MEDICAL CENTER,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,3347938701
1000012,SOUTHEAST ALABAMA MEDICAL CENTER,1725 PINE STREET,MONTGOMERY,AL,36106,3347938701
1000013,SOUTHEAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,3347938701
1000014,SOUTHEAST ALABAMA MEDICAL CENTER,209 NORTH MAIN STREET,WEDOWEE,AL,36278,3347938701
1000015,SOUTHEAST ALABAMA MEDICAL CENTER,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,3347938701
1000016,SOUTHEAST ALABAMA MEDICAL CENTER,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,3347938701
1000017,SOUTHEAST ALABAMA MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,3347938701
1000018,SOUTHEAST ALABAMA MEDICAL CENTER,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,3347938701
1000019,SOUTHEAST ALABAMA MEDICAL CENTER,301 EAST 18TH ST,ANNISTON,AL,36201,3347938701
1000020,SOUTHEAST ALABAMA MEDICAL CENTER,101 SIVLEY RD,HUNTSVILLE,AL,35801,3347938701
1000021,SOUTHEAST ALABAMA MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,3347938701
1000022,SOUTHEAST ALABAMA MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,3347938701
1000023,SOUTHEAST ALABAMA MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,3347938701
1000024,SOUTHEAST ALABAMA MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,3347938701
1000025,SOUTHEAST ALABAMA MEDICAL CENTER,515 N MIRANDA AVENUE,GEORGIANA,AL,36033,3347938701
1000026,SOUTHEAST ALABAMA MEDICAL CENTER,400 N EDWARDS STREET,ENTERPRISE,AL,36330,3347938701
1000027,SOUTHEAST ALABAMA MEDICAL CENTER,509 WILSON AVENUE,EUTAW,AL,35462,3347938701
1000028,SOUTHEAST ALABAMA MEDICAL CENTER,201 MARIARDEN ROAD,DADEVILLE,AL,36853,3347938701
1000029,SOUTHEAST ALABAMA MEDICAL CENTER,4370 WEST MAIN STREET,DOTHAN,AL,36305,3347938701
1000030,SOUTHEAST ALABAMA MEDICAL CENTER,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,3347938701
1000031,SOUTHEAST ALABAMA MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,3347938701
1000032,SOUTHEAST ALABAMA MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,3347938701
1000033,SOUTHEAST ALABAMA MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,3347938701
1000034,SOUTHEAST ALABAMA MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,3347938701
1000035,SOUTHEAST ALABAMA MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,3347938701
1000036,SOUTHEAST ALABAMA MEDICAL CENTER,820 W WASHINGTON ST,EUFAULA,AL,36027,3347938701
1000037,SOUTHEAST ALABAMA MEDICAL CENTER,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,3347938701
1000038,SOUTHEAST ALABAMA MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,3347938701
1000039,SOUTHEAST ALABAMA MEDICAL CENTER,700 WEST MARKET STREET,ATHENS,AL,35611,3347938701
1000040,SOUTHEAST ALABAMA MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,3347938701
1000041,SOUTHEAST ALABAMA MEDICAL CENTER,1201 7TH STREET SE,DECATUR,AL,35601,3347938701
1000042,SOUTHEAST ALABAMA MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,3347938701
1000043,SOUTHEAST ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,3347938701
1000044,SOUTHEAST ALABAMA MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,3347938701
1000045,SOUTHEAST ALABAMA MEDICAL CENTER,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,3347938701
1000046,SOUTHEAST ALABAMA MEDICAL CENTER,295 JACKSON HWY S,GROVE HILL,AL,36451,3347938701
1000047,SOUTHEAST ALABAMA MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,3347938701
1000048,SOUTHEAST ALABAMA MEDICAL CENTER,508 GREEN STREET,GREENSBORO,AL,36744,3347938701
1000049,SOUTHEAST ALABAMA MEDICAL CENTER,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,3347938701
1000050,SOUTHEAST ALABAMA MEDICAL CENTER,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,3347938701
1000051,SOUTHEAST ALABAMA MEDICAL CENTER,750 MORPHY AVENUE,FAIRHOPE,AL,36532,3347938701
1000052,SOUTHEAST ALABAMA MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,3347938701
1000053,SOUTHEAST ALABAMA MEDICAL CENTER,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,3347938701
1000054,MARSHALL MEDICAL CENTER SOUTH,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,2565938310
1000055,MARSHALL MEDICAL CENTER SOUTH,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,2565938310
1000056,MARSHALL MEDICAL CENTER SOUTH,124 S MEMORIAL DR,PRATTVILLE,AL,36067,2565938310
1000057,MARSHALL MEDICAL CENTER SOUTH,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,2565938310
1000058,MARSHALL MEDICAL CENTER SOUTH,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,2565938310
1000065,MARSHALL MEDICAL CENTER SOUTH,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,2565938310
1000066,MARSHALL MEDICAL CENTER SOUTH,220 HOSPITAL DRIVE,JACKSON,AL,36545,2565938310
1000067,MARSHALL MEDICAL CENTER SOUTH,1815 HAND AVENUE,BAY MINETTE,AL,36507,2565938310
1000068,MARSHALL MEDICAL CENTER SOUTH,7063 VETERANS PARKWAY,PELL CITY,AL,35125,2565938310
1000069,MARSHALL MEDICAL CENTER SOUTH,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,2565938310
1000070,MARSHALL MEDICAL CENTER SOUTH,751 DERBY DRIVE,YORK,AL,36925,2565938310
1000071,MARSHALL MEDICAL CENTER SOUTH,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,2565938310
1000072,MARSHALL MEDICAL CENTER SOUTH,3719 DAUPHIN STREET,MOBILE,AL,36608,2565938310
1000073,MARSHALL MEDICAL CENTER SOUTH,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,2565938310
1000074,MARSHALL MEDICAL CENTER SOUTH,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,2565938310
1000075,MARSHALL MEDICAL CENTER SOUTH,400 TAYLOR ROAD,MONTGOMERY,AL,36117,2565938310
1000076,MARSHALL MEDICAL CENTER SOUTH,29 L V STABLER DRIVE,GREENVILLE,AL,36037,2565938310
1000077,MARSHALL MEDICAL CENTER SOUTH,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,2565938310
1000078,MARSHALL MEDICAL CENTER SOUTH,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,2565938310
1000079,MARSHALL MEDICAL CENTER SOUTH,315 W HICKORY ST,SYLACAUGA,AL,35150,2565938310
1000080,MARSHALL MEDICAL CENTER SOUTH,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,2565938310
1000081,MARSHALL MEDICAL CENTER SOUTH,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,2565938310
1000082,MARSHALL MEDICAL CENTER SOUTH,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,2565938310
1000083,MARSHALL MEDICAL CENTER SOUTH,211 HOSPITAL ROAD,RED BAY,AL,35582,2565938310
1000084,MARSHALL MEDICAL CENTER SOUTH,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,2565938310
1000085,MARSHALL MEDICAL CENTER SOUTH,150 GILBREATH DRIVE,ONEONTA,AL,35121,2565938310
1000086,MARSHALL MEDICAL CENTER SOUTH,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,2565938310
1000087,MARSHALL MEDICAL CENTER SOUTH,1700 CENTER STREET,MOBILE,AL,36604,2565938310
1000088,MARSHALL MEDICAL CENTER SOUTH,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,2565938310
1000089,MARSHALL MEDICAL CENTER SOUTH,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,2565938310
1000090,MARSHALL MEDICAL CENTER SOUTH,3260 HOSPITAL DR,JUNEAU,AK,99801,2565938310
1000091,MARSHALL MEDICAL CENTER SOUTH,1650 COWLES STREET,FAIRBANKS,AK,99701,2565938310
1000092,MARSHALL MEDICAL CENTER SOUTH,2801 DEBARR ROAD,ANCHORAGE,AK,99508,2565938310
1000093,MARSHALL MEDICAL CENTER SOUTH,PO BOX 287,BETHEL,AK,99559,2565938310
1000094,MARSHALL MEDICAL CENTER SOUTH,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,2565938310
1000095,MARSHALL MEDICAL CENTER SOUTH,209 MOLLER DRIVE,SITKA,AK,99835,2565938310
1000096,MARSHALL MEDICAL CENTER SOUTH,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,2565938310
1000097,MARSHALL MEDICAL CENTER SOUTH,PO BOX 550,VALDEZ,AK,99686,2565938310
1000098,MARSHALL MEDICAL CENTER SOUTH,"417 FIRST AVENUE, PO BOX 365",SEWARD,AK,99664,2565938310
1000099,MARSHALL MEDICAL CENTER SOUTH, PO BOX 589,PETERSBURG,AK,99833,2565938310
1000100,MARSHALL MEDICAL CENTER SOUTH,310 BENNETT STREET PO BOX 1081,WRANGELL,AK,99929,2565938310
1000101,MARSHALL MEDICAL CENTER SOUTH,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,2565938310
1000102,MARSHALL MEDICAL CENTER SOUTH,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,2565938310
1000103,MARSHALL MEDICAL CENTER SOUTH,P O BOX 130,DILLINGHAM,AK,99576,2565938310
1000104,MARSHALL MEDICAL CENTER SOUTH,PO BOX 43,KOTZEBUE,AK,99752,2565938310
1000105,MARSHALL MEDICAL CENTER SOUTH,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,2565938310
1000106,MARSHALL MEDICAL CENTER SOUTH,222 TONGASS DR,SITKA,AK,99835,2565938310
1000107,MARSHALL MEDICAL CENTER SOUTH,5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,85031,2565938310
1000108,MARSHALL MEDICAL CENTER SOUTH,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,2565938310
1000109,ELIZA COFFEE MEMORIAL HOSPITAL,7000 UULA ST,BARROW,AK,99723,2567688400
1000110,ELIZA COFFEE MEMORIAL HOSPITAL,4300 BARTLETT ST,HOMER,AK,99603,2567688400
1000111,ELIZA COFFEE MEMORIAL HOSPITAL,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,2567688400
1000112,ELIZA COFFEE MEMORIAL HOSPITAL,5301 EAST GRANT ROAD,TUCSON,AZ,85712,2567688400
1000113,ELIZA COFFEE MEMORIAL HOSPITAL,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,2567688400
1000114,ELIZA COFFEE MEMORIAL HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,2567688400
1000115,ELIZA COFFEE MEMORIAL HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,2567688400
1000116,ELIZA COFFEE MEMORIAL HOSPITAL,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,2567688400
1000117,ELIZA COFFEE MEMORIAL HOSPITAL,2400 SOUTH AVENUE A,YUMA,AZ,85364,2567688400
1000118,ELIZA COFFEE MEMORIAL HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,2567688400
1000119,ELIZA COFFEE MEMORIAL HOSPITAL,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85222,2567688400
1000120,ELIZA COFFEE MEMORIAL HOSPITAL,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,2567688400
1000121,ELIZA COFFEE MEMORIAL HOSPITAL,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,2567688400
1000122,ELIZA COFFEE MEMORIAL HOSPITAL,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,2567688400
1000123,ELIZA COFFEE MEMORIAL HOSPITAL,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,2567688400
1000124,ELIZA COFFEE MEMORIAL HOSPITAL,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,2567688400
1000125,ELIZA COFFEE MEMORIAL HOSPITAL,1955 WEST FRYE ROAD,CHANDLER,AZ,85224,2567688400
1000126,ELIZA COFFEE MEMORIAL HOSPITAL,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,2567688400
1000127,ELIZA COFFEE MEMORIAL HOSPITAL,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,2567688400
1000128,ELIZA COFFEE MEMORIAL HOSPITAL,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,2567688400
1000129,ELIZA COFFEE MEMORIAL HOSPITAL,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86409,2567688400
1000130,ELIZA COFFEE MEMORIAL HOSPITAL,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,2567688400
1000131,ELIZA COFFEE MEMORIAL HOSPITAL,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,2567688400
1000132,ELIZA COFFEE MEMORIAL HOSPITAL,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,2567688400
1000133,ELIZA COFFEE MEMORIAL HOSPITAL,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,2567688400
1000134,ELIZA COFFEE MEMORIAL HOSPITAL,1600 SOUTH 20TH AVENUE,SAFFORD,AZ,85546,2567688400
1000135,ELIZA COFFEE MEMORIAL HOSPITAL,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,2567688400
1000136,ELIZA COFFEE MEMORIAL HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,2567688400
1000137,ELIZA COFFEE MEMORIAL HOSPITAL,PO BOX 600,TUBA CITY,AZ,86045,2567688400
1000138,ELIZA COFFEE MEMORIAL HOSPITAL,PO BOX 548,SELLS,AZ,85634,2567688400
1000139,ELIZA COFFEE MEMORIAL HOSPITAL,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,2567688400
1000140,ELIZA COFFEE MEMORIAL HOSPITAL,4212 NORTH 16TH STREET,PHOENIX,AZ,85016,2567688400
1000141,ELIZA COFFEE MEMORIAL HOSPITAL,3929 EAST BELL ROAD,PHOENIX,AZ,85032,2567688400
1000142,ELIZA COFFEE MEMORIAL HOSPITAL,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,2567688400
1000143,ELIZA COFFEE MEMORIAL HOSPITAL,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,2567688400
1000144,ELIZA COFFEE MEMORIAL HOSPITAL,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260,2567688400
1000145,ELIZA COFFEE MEMORIAL HOSPITAL,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,2567688400
1000146,ELIZA COFFEE MEMORIAL HOSPITAL,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,2567688400
1000147,ELIZA COFFEE MEMORIAL HOSPITAL,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,2567688400
1000148,ELIZA COFFEE MEMORIAL HOSPITAL,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,2567688400
1000149,ELIZA COFFEE MEMORIAL HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,2567688400
1000150,ELIZA COFFEE MEMORIAL HOSPITAL,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,2567688400
1000151,ELIZA COFFEE MEMORIAL HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,2567688400
1000152,ELIZA COFFEE MEMORIAL HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,2567688400
1000153,ELIZA COFFEE MEMORIAL HOSPITAL,4620 EAST BASELINE ROAD,MESA,AZ,85206,2567688400
1000154,ELIZA COFFEE MEMORIAL HOSPITAL,6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,2567688400
1000155,ELIZA COFFEE MEMORIAL HOSPITAL,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,2567688400
1000156,ELIZA COFFEE MEMORIAL HOSPITAL,2800 EAST AJO WAY,TUCSON,AZ,85713,2567688400
1000157,ELIZA COFFEE MEMORIAL HOSPITAL,2905 WEST WARNER ROAD,CHANDLER,AZ,85224,2567688400
1000158,ELIZA COFFEE MEMORIAL HOSPITAL,200 WEST HOSPITAL DRIVE  (PO BOX 860),WHITERIVER,AZ,85941,2567688400
1000159,ELIZA COFFEE MEMORIAL HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,2567688400
1000160,ELIZA COFFEE MEMORIAL HOSPITAL,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,2567688400
1000161,ELIZA COFFEE MEMORIAL HOSPITAL,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426,2567688400
1000162,ELIZA COFFEE MEMORIAL HOSPITAL,7700 EAST FLORENTINE ROAD,PRESCOTT VALLEY,AZ,86314,2567688400
1000163,ELIZA COFFEE MEMORIAL HOSPITAL,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296,2567688400
1000164,MIZELL MEMORIAL HOSPITAL,5656 SOUTH POWER ROAD,GILBERT,AZ,85295,3344933541
1000165,MIZELL MEMORIAL HOSPITAL,1301 SOUTH CRISMON ROAD,MESA,AZ,85209,3344933541
1000166,MIZELL MEMORIAL HOSPITAL,1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,3344933541
1000167,MIZELL MEMORIAL HOSPITAL,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ,85255,3344933541
1000168,MIZELL MEMORIAL HOSPITAL,37000 NORTH GANTZEL ROAD,SAN TAN VALLEY,AZ,85140,3344933541
1000169,MIZELL MEMORIAL HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ,85008,3344933541
1000170,MIZELL MEMORIAL HOSPITAL,4545 NORTH HUNT HIGHWAY,FLORENCE,AZ,85132,3344933541
1000171,MIZELL MEMORIAL HOSPITAL,2050 WEST SOUTHERN AVENUE,APACHE JUNCTION,AZ,85120,3344933541
1000172,MIZELL MEMORIAL HOSPITAL,7171 SOUTH 51ST AVENUE,LAVEEN,AZ,85339,3344933541
1000173,MIZELL MEMORIAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,GREEN VALLEY,AZ,85614,3344933541
1000174,MIZELL MEMORIAL HOSPITAL,520 ROSE LANE,WICKENBURG,AZ,85390,3344933541
1000175,MIZELL MEMORIAL HOSPITAL,450 SOUTH OCOTILLO AVENUE,BENSON,AZ,85602,3344933541
1000176,MIZELL MEMORIAL HOSPITAL,901 WEST REX ALLEN DRIVE,WILLCOX,AZ,85643,3344933541
1000177,MIZELL MEMORIAL HOSPITAL,501 NORTH NAVAJO DRIVE,PAGE,AZ,86040,3344933541
1000178,MIZELL MEMORIAL HOSPITAL,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,3344933541
1000179,MIZELL MEMORIAL HOSPITAL,12033 AGENCY ROAD,PARKER,AZ,85344,3344933541
1000180,MIZELL MEMORIAL HOSPITAL,483 WEST SEED FARM ROAD,SACATON,AZ,85147,3344933541
1000181,MIZELL MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,3344933541
1000182,MIZELL MEMORIAL HOSPITAL,1501 NORTH WILLIAMSON AVENUE,WINSLOW,AZ,86047,3344933541
1000183,MIZELL MEMORIAL HOSPITAL,101 COLE AVENUE,BISBEE,AZ,85603,3344933541
1000184,MIZELL MEMORIAL HOSPITAL,1171 WEST TARGET RANGE ROAD,NOGALES,AZ,85621,3344933541
1000185,MIZELL MEMORIAL HOSPITAL,5880 SOUTH HOSPITAL DRIVE,GLOBE,AZ,85501,3344933541
1000186,MIZELL MEMORIAL HOSPITAL,118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,AZ,85938,3344933541
1000187,MIZELL MEMORIAL HOSPITAL,1200 WEST MOHAVE ROAD,PARKER,AZ,85344,3344933541
1000188,MIZELL MEMORIAL HOSPITAL,2303 EAST THOMAS,PHOENIX,AZ,85016,3344933541
1000189,MIZELL MEMORIAL HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,AZ,85016,3344933541
1000190,MIZELL MEMORIAL HOSPITAL,610 WEST JEROME AVENUE,MESA,AZ,85210,3344933541
1000191,MIZELL MEMORIAL HOSPITAL,603 NORTH PROGRESS AVENUE,SILOAM SPRINGS,AR,72761,3344933541
1000192,MIZELL MEMORIAL HOSPITAL,1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830,3344933541
1000193,MIZELL MEMORIAL HOSPITAL,3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,AR,72703,3344933541
1000194,MIZELL MEMORIAL HOSPITAL,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,3344933541
1000195,MIZELL MEMORIAL HOSPITAL,2710 SOUTH RIFE MEDICAL LANE,ROGERS,AR,72758,3344933541
1000196,MIZELL MEMORIAL HOSPITAL,719 DETROIT STREET,DANVILLE,AR,72833,3344933541
1000197,MIZELL MEMORIAL HOSPITAL,3214 EAST RACE AVENUE,SEARCY,AR,72143,3344933541
1000198,MIZELL MEMORIAL HOSPITAL,311 NORTH MORROW STREET,MENA,AR,71953,3344933541
1000199,MIZELL MEMORIAL HOSPITAL,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,3344933541
1000200,MIZELL MEMORIAL HOSPITAL,620 NORTH MAIN STREET,HARRISON,AR,72601,3344933541
1000201,MIZELL MEMORIAL HOSPITAL,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,3344933541
1000202,MIZELL MEMORIAL HOSPITAL,1601 NEWCASTLE ROAD,FORREST CITY,AR,72335,3344933541
1000203,MIZELL MEMORIAL HOSPITAL,225 E JACKSON,JONESBORO,AR,72401,3344933541
1000204,MIZELL MEMORIAL HOSPITAL,609 WEST MAPLE AVENUE,SPRINGDALE,AR,72764,3344933541
1000205,MIZELL MEMORIAL HOSPITAL,300 WERNER STREET,HOT SPRINGS,AR,71903,3344933541
1000206,MIZELL MEMORIAL HOSPITAL,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653,3344933541
1000207,MIZELL MEMORIAL HOSPITAL,2302 COLLEGE AVENUE,CONWAY,AR,72034,3344933541
1000208,MIZELL MEMORIAL HOSPITAL,3333 SPRINGHILL DRIVE,NORTH LITTLE ROCK,AR,72117,3344933541
1000209,MIZELL MEMORIAL HOSPITAL,900 WEST KINGSHIGHWAY,PARAGOULD,AR,72450,3344933541
1000210,MIZELL MEMORIAL HOSPITAL,1808 WEST MAIN STREET,RUSSELLVILLE,AR,72801,3344933541
1000211,MIZELL MEMORIAL HOSPITAL,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,3344933541
1000212,MIZELL MEMORIAL HOSPITAL,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,3344933541
